ID,Variable,Short definition,Stage,Governed,Regulatory gap,Rate of risk,Suggested mitigation
113,Evaluation for hallucination propensity,Testing for tendency to invent facts,Evaluation,No,Moderate,High,Benchmark hallucinations and apply mitigations
114,Fact-checking integration,Use of external knowledge or tools to verify outputs,Model Design,Partial,Moderate,High,Integrate retrieval and verification layers with confidence scoring
115,Retrieval data freshness policies,How often knowledge bases used for retrieval are updated,Tooling & Infrastructure,No,Moderate,High,Define refresh cadences and stale-data mitigation
116,Indexing and search bias,Biases introduced in retrieval/indexing pipelines,Tooling & Infrastructure,No,Moderate,High,Audit retrieval ranking and promote fairness
117,Cold-start handling,Behavior when models encounter unseen inputs or users,Model Design,No,Moderate,Medium,Define safe defaults and unknown-handling strategies
118,Confidence estimation methods,How the model estimates and exposes uncertainty,Model Design,Partial,Moderate,High,Calibrate and surface uncertainties to downstream systems
119,Post-processing and filters,Rules applied to raw model outputs before delivery,Deployment Prep & Monitoring,Partial,Moderate,High,Document post-processing and test comprehensively
120,Edge-case & outlier definitions,What counts as an outlier and how it's handled,Team & Processes,No,Moderate,High,Define outlier criteria and handling procedures
121,Monitoring for emergent behaviors,Detection of unexpected capabilities or modes,Deployment Prep & Monitoring,No,Large,Critical/Urgent,"Horizon scanning, capability testing, and kill-switches"
122,Capability escalation controls,Controls to limit model capability increases,Team & Processes,No,Large,Critical/Urgent,Approval gates for capability-scaling experiments
123,Market-facing disclosure practices,What is disclosed to customers about model limits,Policy,Partial,Moderate,High,Transparent documentation and customer advisories
124,Insurance & liability coverage,Insurance for harms caused by models,Legal/Compliance,No,Moderate,Medium,Engage insurers and define liability terms
125,Regulatory reporting processes,How incidents are reported to authorities,Legal/Compliance,Partial,Moderate,High,Define incident reporting flows and compliance contacts
126,Cross-jurisdictional legal compliance,Alignment with laws across countries,Legal/Compliance,Partial,Large,High,Legal reviews and localized controls
127,Encryption for model weights,Protecting model parameters from exfiltration,Tooling & Infrastructure,No,Moderate,High,Encrypt weights at rest and use secure enclaves
128,Model theft detection,Detecting unauthorized copies or usage of models,Tooling & Infrastructure,No,Moderate,High,Use watermarking and monitor unusual usage patterns
129,Data minimization practices,Collecting only necessary data for purposes stated,Policy,Partial,Moderate,High,Adopt data minimization principles and audits
130,Reproducible training pipelines,Pipelines that can be rerun to reproduce models,Tooling & Infrastructure,Partial,Moderate,Medium,Use reproducible workflows and containerization
131,Experimental vs production labeling,Clear separation of non-prod artifacts from production,Tooling & Infrastructure,No,Moderate,High,Tag environments clearly and restrict access to prod
132,Rollback legal implications,Legal exposure when rolling back features,Legal/Compliance,No,Small,Medium,Legal review and clear contractual terms
133,Public safety review boards,Independent review for high-risk releases,Governance,No,Large,Critical/Urgent,Establish external review or advisory boards
134,Internal AI governance committees,Formal governance groups overseeing AI development,Governance,Partial,Moderate,High,Empower committees with veto and audit powers
135,Auditability of models,Ability to trace decisions and data leading to outputs,Tooling & Infrastructure,Partial,Large,Critical/Urgent,Build audit trails and explainability mechanisms
136,Interpretability vs performance trade-offs,Decisions balancing explainability and accuracy,Model Design,No,Moderate,High,Document trade-offs and prefer interpretable options where safety-critical
137,Staged release policies,Phased rollouts to limited audiences,Deployment Prep & Monitoring,Partial,Moderate,High,Use canary releases and monitor impacts closely
138,User-level access controls,Granular controls for different user classes,Tooling & Infrastructure,Partial,Moderate,High,Implement RBAC and permission reviews
139,Third-party API rate limiting,Controls on third-party access to model APIs,Tooling & Infrastructure,Partial,Moderate,High,Rate limits and abuse detection
140,Model lifecycle documentation,Complete lifecycle records from design to retirement,Team & Processes,Partial,Moderate,High,Maintain lifecycle docs and retirement procedures
141,Retirement & sunsetting policies,How models/data are deprecated and removed,Team & Processes,No,Moderate,Medium,Define sunset timelines and data deletion steps
142,Fallback human review capacity,Capacity planning for human moderation under load,Deployment Prep & Monitoring,No,Moderate,High,Staffing plans and surge protocols
143,Misuse risk assessments,Analyses of how models could be repurposed maliciously,Policy,Partial,Moderate,Critical/Urgent,Conduct misuse assessments and implement mitigations
144,Export controls & dual-use considerations,Restrictions on exporting high-capability models,Legal/Compliance,Partial,Large,Critical/Urgent,Comply with export rules and classify sensitive tech
145,High-risk domain restrictions,"Policies for preventing use in critical domains (e.g., healthcare, finance) without approval",Policy,No,Large,Critical/Urgent,Restrict and require domain-specific validation
146,Accountability mechanisms,Clear responsibilities and sanctions for harms,Governance,No,Large,Critical/Urgent,Define accountability frameworks and enforcement
147,Transparency in model capabilities,Publicly disclosing known capabilities and limits,Policy,Partial,Moderate,High,Publish capability statements and limitations
148,Testing for discriminatory impact,Audits focused on discrimination across groups,Evaluation,No,Large,Critical/Urgent,Regular discrimination testing and remediation plans
149,Simulated adversary coverage,Range and depth of adversary models used in testing,Evaluation,No,Moderate,High,Broaden adversary scenarios and document gaps
150,Internal safety milestone gating,Safety milestones required before progressing projects,Governance,No,Moderate,Critical/Urgent,Require documented safety milestones and sign-offs
151,Third-party audits & certifications,External assessments of practices and models,Governance,Partial,Moderate,High,Engage accredited auditors and remediate findings
152,Open vs closed model policy,Decisions to open-source vs keep closed,Policy,Partial,Large,High,Risk-based release strategy with staged openness
153,Data lineage for fine-tuning sources,Traceability of fine-tune dataset origins,Data,No,Moderate,High,Maintain lineage records for all fine-tune data
154,Legal risk modeling,Assessments of legal exposure for model behaviors,Legal/Compliance,No,Moderate,High,Legal risk assessments integrated into development
155,Stakeholder engagement practices,Consultation with impacted communities,Team & Processes,No,Large,High,Engage stakeholders early and iteratively
156,Compensated community participation,Paying communities for data and feedback,Team & Processes,No,Moderate,Medium,Fair compensation and clear agreements
157,Compromise risk from public demos,What is exposed during demos and prototypes,Policy,No,Moderate,High,"Limit demos, use sanitized data, NDAs"
158,Data retention of training telemetry,How long training logs and telemetry are kept,Tooling & Infrastructure,Partial,Moderate,Medium,Set retention limits and secure archives
159,Use of underground or illicit data sources,Inadvertent inclusion of stolen or illicit data,Data,No,Large,Critical/Urgent,Vet sources and remove illicit data promptly
160,Corporate incentives for speed vs safety,Organizational KPIs that prioritize rapid release,Team & Processes,No,Large,Critical/Urgent,Align incentives with safety metrics and balanced KPIs
161,Exportability of models to uncontrolled environments,Ease of running models offline or in unsafe contexts,Tooling & Infrastructure,No,Large,High,Restrict distribution and monitor model exports
162,User personalization practices,How models personalize behavior to individual users,Model Design,Partial,Moderate,High,Privacy-safe personalization and opt-outs
163,Targeted manipulation risk,Risk of models being used to manipulate specific groups,Policy,No,Large,Critical/Urgent,Limit targeting capabilities and monitor misuse
164,Reinforcement learning reward model transparency,Visibility into reward model data and alignment,Model Design,No,Large,High,Document reward datasets and alignment processes
165,Proxy metric overfitting,Optimization to metrics that don't reflect real value,Evaluation,No,Moderate,High,Use diverse real-world metrics and human evaluation
166,Use of clandestine data pipelines,Hidden ETL pipelines sourcing data without oversight,Tooling & Infrastructure,No,Large,Critical/Urgent,Audit pipelines and require approvals for new sources
167,Credential leakage in datasets,"Accidental inclusion of passwords, tokens, or secrets",Data,Partial,Large,Critical/Urgent,Scan datasets for secrets and remove immediately
168,Model prompt-injection defenses,Protections against malicious prompts altering behavior,Model Design,No,Large,High,Implement injection detection and policy enforcement
169,Testing for instruction-following misuse,Assessing propensity to follow harmful instructions,Evaluation,No,Large,Critical/Urgent,Test instruction scenarios and limit dangerous capabilities
170,Third-party content moderation reliance,Dependence on external moderation providers,External Dependencies,Partial,Moderate,High,Vet providers and have redundancy
171,Internal policy enforcement mechanisms,How policies are enforced internally,Governance,No,Moderate,High,"Define enforcement, audits, and consequences"
172,Safety budgeting in product planning,Allocation of time and funds for safety work,Team & Processes,No,Moderate,High,Require safety budgets in project plans
173,Supply-chain provenance of compute hardware,Origin and security of training hardware,Tooling & Infrastructure,No,Moderate,Medium,Track hardware provenance and secure firmware
174,Use of public vs private cloud resources,Location and controls around compute environments,Tooling & Infrastructure,Partial,Moderate,Medium,Apply consistent security controls across clouds
175,Model fine-grain access logging,Per-inference logs for who called what model,Tooling & Infrastructure,No,Moderate,High,Implement detailed access logs with alerts
176,Statistical disclosure risk assessments,Evaluating risk of re-identification from outputs,Data,No,Moderate,High,Perform disclosure risk analysis pre-release
177,Content provenance for training images,Source verification for image datasets,Data,No,Moderate,High,Require source metadata and provenance checks
178,Copyright takedown response processes,Handling requests to remove copyrighted material used in models,Legal/Compliance,Partial,Moderate,Medium,Define takedown workflows and responsiveness
179,Model output liability tracing,Ability to trace harmful output to training causes,Tooling & Infrastructure,No,Large,Critical/Urgent,Invest in causal traceability and logging
180,Operator training for model oversight,Training ops staff on safety monitoring,Team & Processes,Partial,Moderate,High,Provide role-based training and simulations
181,Standards for high-risk use approvals,Criteria and process to approve high-risk deployments,Governance,No,Large,Critical/Urgent,Formal approval boards and documented criteria
182,Transparency around safety failures,Disclosure of incidents and mitigations,Policy,No,Large,High,Publish post-incident reports and remediation steps
183,Independent safety research access,Access provisions for external researchers to probe models,Policy,Partial,Moderate,Medium,Define safe research access programs with controls
184,Testing for economic harms,Assessing impacts like job displacement or market manipulation,Evaluation,No,Large,Medium,Include economic impact assessments for high-impact systems
185,Cultural sensitivity reviews,Assessing outputs for cultural offensiveness or harm,Evaluation,No,Moderate,High,Engage cultural experts and include reviews in testing
186,Translation and localization validation,Validating model behavior after localization,Evaluation,No,Moderate,High,Local testing and native-speaker reviews
187,Testing for legal/regulatory compliance,Pre-release checks against relevant laws,Legal/Compliance,Partial,Moderate,High,Legal sign-offs and compliance checklists
188,Use of human feedback datasets,Collection and curation of human preference data,Data,Partial,Moderate,High,Audit HF data for bias and consent
189,Metrics for long-term harms,Measuring harms that unfold over time,Evaluation,No,Large,High,Develop longitudinal monitoring and indicators
190,Social engineering vulnerability testing,Assessing model use in social-engineering attacks,Evaluation,No,Large,High,Simulate attacks and harden systems
191,Dependency on large proprietary corpora,Reliance on massive opaque datasets,Data,No,Large,Critical/Urgent,Increase transparency and diversify sources
192,Confidential data leakage testing,Assessing risk models reveal confidential corpora content,Evaluation,No,Large,Critical/Urgent,Perform extraction tests and privacy evaluation
193,Alignment evaluation benchmarks,Benchmarks specifically for alignment and goal-directed safety,Evaluation,No,Moderate,Critical/Urgent,Develop alignment benchmarks and require passing thresholds
194,Certification of high-risk models,Formal third-party certification frameworks,Governance,No,Large,Critical/Urgent,Advocate for certification standards and adopt them
195,Policy for low-likelihood high-impact scenarios,Planning for rare catastrophic failures,Governance,No,Large,Critical/Urgent,Scenario planning and runbooks for extreme events
196,Internal model threat intelligence,Collecting and sharing intel on emerging threats to models,Governance,No,Moderate,High,Establish threat intel functions and info sharing
197,Model usage billing incentives,Pricing models that incentivize risky usage patterns,Policy,No,Moderate,Medium,Align pricing to discourage high-risk uses
198,Aggregate vs individual-level testing,"Ensuring tests cover individual-level harms, not only aggregates",Evaluation,No,Moderate,High,Include micro-level audits and case studies
199,Testing for persuasion & influence,Assessing capacity to persuade or manipulate users,Evaluation,No,Large,Critical/Urgent,Benchmark persuasion risks and restrict high-risk deployments
200,Automated policy enforcement tools,Tools that apply content/policy rules at scale,Tooling & Infrastructure,Partial,Moderate,High,Develop robust rule engines with human review loops
201,Model behavior under resource constraints,Behavior when CPU/memory limits affect outputs,Model Design,No,Moderate,Medium,Test under constrained environments and define safe degradation
202,Dataset licensing traceability,Ability to show chain of licenses for dataset components,Legal/Compliance,No,Moderate,High,Maintain license manifests and provenance records
203,Use of copyrighted code corpora,Training on source code with license implications,Data,Partial,Large,High,Track code sources and honor licenses
204,Experiment approval workflows,Formal approvals before risky experiments,Team & Processes,No,Moderate,High,Enforce approval gates with documented risk assessments
205,Model output sanitization defaults,Default behaviors that sanitize or redact outputs,Deployment Prep & Monitoring,No,Moderate,High,Configure safe defaults and require explicit opt-in to disable
206,Human subject protections in user studies,Protections when involving human participants,Legal/Compliance,Partial,Moderate,High,IRB-like reviews and consent procedures
207,Competency requirements for safety reviewers,Qualifications for those approving safety gates,Governance,No,Moderate,High,Define competency standards and training for reviewers
208,Public incident disclosure thresholds,When to publicly disclose incidents,Policy,No,Moderate,High,Define thresholds and disclosure processes
209,Model update provenance,Tracing what changed between model versions,Tooling & Infrastructure,Partial,Moderate,High,Changelogs and diffs for models and datasets
210,Differential access to safety features,Some customers get safety features others do not,Policy,No,Moderate,High,Standardize safety features and avoid privileged exemptions
211,User education materials about limits,Guidance provided to end users on model capabilities,Policy,Partial,Moderate,Medium,Provide clear user guides and disclaimers
212,Supply chain contractual clauses,Contracts with suppliers covering safety and provenance,Legal/Compliance,Partial,Moderate,High,"Include safety, audit, and liability clauses in contracts"
213,Internal KPI measurement of safety work,How organizations measure safety effort success,Team & Processes,No,Moderate,High,Define KPIs tied to outcomes and audits
214,Model retirement data sanitization,Removing models and associated data securely,Tooling & Infrastructure,No,Moderate,Medium,Secure deletion and archival policies
215,External communication strategies for harms,PR and comms approach when harms occur,Policy,No,Moderate,Medium,Predefine comms templates and roles
216,Testing for emergent multi-step behaviors,Assessing models for planning or long-horizon capabilities,Evaluation,No,Large,Critical/Urgent,Test multi-step planning tasks and limit capabilities
217,Access to model internals for regulators,Providing regulators with access to models for oversight,Governance,No,Large,High,Establish secure regulator access provisions and data sharing agreements
